"PROFILS   ";"SPRVSR";"FR";"Superviseur"
"PROFILS   ";"PRSPCT";"FR";"Prospecteur"
"PROFILS   ";"SPRVSR";"EN";"Supervisor"
"PROFILS   ";"PRSPCT";"EN";"Prospector"
"PROFILS   ";"SPRVSR";"AR";"مشرف"
"PROFILS   ";"PRSPCT";"AR";"المنقب"
"PROFILS   ";"SPRVSR";"JA";"スーパーバイザー"
"PROFILS   ";"PRSPCT";"JA";"探鉱者"
"PROFILS   ";"SPRVSR";"ZH";"监"
"PROFILS   ";"PRSPCT";"ZH";"探矿"
"REGIONS   ";"NO    ";"FR";"Nord-ouest"
"REGIONS   ";"NE    ";"FR";"Nord-est"
"REGIONS   ";"SE    ";"FR";"Sud-est"
"REGIONS   ";"SO    ";"FR";"Sud-ouest"
"REGIONS   ";"IDF   ";"FR";"Île-de-France"
"REGIONS   ";"NO    ";"EN";"Northwest"
"REGIONS   ";"NE    ";"EN";"Northeast"
"REGIONS   ";"SE    ";"EN";"Southeast"
"REGIONS   ";"SO    ";"EN";"Southwest"
"REGIONS   ";"IDF   ";"EN";"Île-de-France"
"REGIONS   ";"NO    ";"AR";"شمال غرب"
"REGIONS   ";"NE    ";"AR";"شمال شرق"
"REGIONS   ";"SE    ";"AR";"الجنوب الشرقي"
"REGIONS   ";"SO    ";"AR";"جنوب غربي"
"REGIONS   ";"IDF   ";"AR";"إيل دو فرنسا"
"PRODUITS  ";"ABOBAS";"FR";"Abonnement principal"
"PRODUITS  ";"OPTFID";"FR";"Option Fidélité"
"PRODUITS  ";"OPTASS";"FR";"Option Assurance"
"PRODUITS  ";"OPTLIV";"FR";"Option Livraison rapide"
"PRODUITS  ";"ABOPRE";"FR";"Abonnement premium"
"PRODUITS  ";"ABOBAS";"EN";"Simple subscription"
"PRODUITS  ";"OPTFID";"EN";"Fidelity option"
"PRODUITS  ";"OPTASS";"EN";"Insurance option"
"PRODUITS  ";"OPTLIV";"EN";"Fast delivery option"
"PRODUITS  ";"ABOPRE";"EN";"Premium subscription"
"PRODUITS  ";"ABOBAS";"AR";"اشتراك بسيط"
"PRODUITS  ";"OPTFID";"AR";"خيار الإخلاص"
"PRODUITS  ";"OPTASS";"AR";"خيار توكيد"
"PRODUITS  ";"OPTLIV";"AR";"بسرعة تسليم خيار"
"PRODUITS  ";"ABOPRE";"AR";"قسط إشتراك"
